Latitude,Longitude
36.3467265,127.4492489
36.3098657,127.4488064
36.3306605,127.4742907
36.2822433,127.4674958
36.3102496,127.3739411
36.333215,127.3810129
36.2991596,127.3289964
36.3089524,127.3523252
36.4469908,127.4127851
36.3583427,127.4188732
36.3633755,127.4422244
36.3772419,127.4213833
36.3489122,127.3779787
36.3526574,127.3683133
36.3601593,127.3668824
36.3599547,127.3946686
36.3581,127.3507036
36.3853872,127.3781009
36.3758376,127.3230673
36.3898372,127.3485073
36.3432457,127.316091
36.4399981,127.3837348
36.3027071,127.3207432
35.5599693,129.2972586
35.555936,129.3296397
35.5791474,129.3460193
35.5560289,129.3414071
35.5809274,129.3228572
35.5393651,129.3185637
35.5443855,129.3245768
35.5221314,129.3353379
35.5342512,129.2925377
35.5506685,129.2600095
35.5420747,129.3413943
35.4910648,129.4212004
35.5090361,129.4285907
35.5420497,129.4291031
35.5270287,129.4329534
35.588553,129.368167
35.557007,129.3545593
35.6216377,129.3558644
35.6300792,129.340641
35.5423782,129.3854784
35.626942,129.4419191
35.3480934,129.3229429
35.5714776,129.2440168
35.5597213,129.1330378
35.4171888,129.2823176
35.4339221,129.3067202
35.6547126,129.2014195
35.5909819,129.0897738
35.5358784,129.1073669
35.4954278,129.3055659
35.4634974,129.2059117
36.4640533,127.2811308
36.4802582,127.2590328
36.5114193,127.2470373
36.4777891,127.2910012
36.6043732,127.2978962
36.5310504,127.3649098
36.6790191,127.2033888
36.6558682,127.2649712
36.5309189,127.3644578
37.2957606,127.0095424
37.3104042,126.9879953
37.2867914,126.9931645
37.2910967,127.0219435
37.2809348,127.0296476
37.2979958,126.9716698
37.2830176,127.0213503
37.2757403,127.0313965
37.2686813,127.0530505
37.2518693,127.0299492
37.2548382,127.0778241
37.2651598,127.0399537
37.2427287,127.0152902
37.2598463,127.0295473
37.2403384,127.0554107
37.288623,127.0476734
37.2661683,126.9998913
37.2811615,126.9821928
37.258604,126.972393
37.2732509,127.0020574
37.273166,126.9515809
37.2691117,127.0143849
37.2917815,126.9418358
37.3763122,126.9662605
37.4061562,126.9701502
37.3991061,126.9379791
37.3682153,126.9589008
37.3898937,126.9528235
37.3904497,126.9645147
37.3896119,126.9305305
37.3843031,126.9099767
37.4147206,126.9184247
37.4023466,126.9071554
37.352158,126.9445706
37.3678267,126.9266073
37.3278416,126.9174709
37.3656266,126.9440364
37.3227775,126.9398482
37.4338666,127.1284047
37.4415546,127.1440012
37.4424594,127.1362195
37.456229,127.1529286
37.4523093,127.1582709
37.4384844,127.1386379
37.4479066,127.1409331
37.4297656,127.1003694
37.4561875,127.1275136
37.4722918,127.149698
37.436095,127.1399889
37.4473422,127.1613425
